"HomeScore Units Export"
""
"Property=.all"
"Property","Status","Unit Number","Year"
"Greenway Terrace","Occupied No Notice","""311""","2020"
"Greenway Terrace","Vacant Rented Not Ready","""312""","2020"
"Greenway Terrace","Occupied No Notice","""313""","2020"
"Greenway Terrace","Notice Unrented","""314""","2020"
"Greenway Terrace","Occupied No Notice","""315""","2020"
"Greenway Terrace","Vacant Unrented Not Ready","""316""","2020"
"Greenway Terrace","Occupied No Notice","""317""","2020"
"Greenway Terrace","Occupied No Notice","""318""","2020"
"Greenway Terrace","Notice Unrented","""319""","2020"
"Huntington Place","Vacant Unrented Ready","""01-001""","2020"
"Huntington Place","Vacant Unrented Ready","""01-002""","2020"
"Huntington Place","Vacant Rented Ready","""01-003""","2020"
"Huntington Place","Vacant Unrented Ready","""01-004""","2020"
"Huntington Place","Vacant Unrented Ready","""01-005""","2020"
"Huntington Place","Vacant Unrented Ready","""01-006""","2020"
"Huntington Place","Notice Unrented","""01-007""","2020"
"Huntington Place","Vacant Unrented Ready","""01-008""","2020"
"Huntington Place","Vacant Unrented Ready","""01-009""","2020"
"Huntington Place","Notice Unrented","""01-010""","2020"
"Huntington Place","Vacant Unrented Ready","""01-011""","2020"
"Huntington Place","Occupied No Notice","""01-012""","2020"
"Huntington Place","Vacant Unrented Ready","""01-013""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-014""","2020"
"Huntington Place","Vacant Unrented Ready","""01-016""","2020"
"Huntington Place","Vacant Unrented Ready","""01-018""","2020"
"Huntington Place","Occupied No Notice","""01-019""","2020"
"Huntington Place","Vacant Unrented Ready","""01-020""","2020"
"Huntington Place","Vacant Unrented Ready","""01-021""","2020"
"Huntington Place","Vacant Unrented Ready","""01-022""","2020"
"Huntington Place","Vacant Unrented Ready","""01-024""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-026""","2020"
"Huntington Place","Vacant Unrented Ready","""01-028""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-029""","2020"
"Huntington Place","Vacant Unrented Ready","""01-030""","2020"
"Huntington Place","Occupied No Notice","""01-031""","2020"
"Huntington Place","Vacant Unrented Ready","""01-032""","2020"
"Huntington Place","Vacant Unrented Ready","""01-033""","2020"
"Huntington Place","Vacant Unrented Ready","""01-034""","2020"
"Huntington Place","Occupied No Notice","""01-036""","2020"
"Huntington Place","Vacant Unrented Ready","""01-038""","2020"
"Huntington Place","Occupied No Notice","""01-040""","2020"
"Huntington Place","Vacant Unrented Ready","""01-041""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-042""","2020"
"Huntington Place","Vacant Rented Not Ready","""01-043""","2020"
"Huntington Place","Occupied No Notice","""01-044""","2020"
"Huntington Place","Vacant Unrented Ready","""01-045""","2020"
"Huntington Place","Vacant Unrented Ready","""01-046""","2020"
"Huntington Place","Vacant Unrented Ready","""01-047""","2020"
"Huntington Place","Vacant Unrented Ready","""01-048""","2020"
"Huntington Place","Vacant Unrented Ready","""01-049""","2020"
"Huntington Place","Vacant Unrented Ready","""01-050""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-051""","2020"
"Huntington Place","Vacant Unrented Ready","""01-052""","2020"
"Huntington Place","Notice Unrented","""01-053""","2020"
"Huntington Place","Vacant Unrented Ready","""01-054""","2020"
"Huntington Place","Vacant Unrented Ready","""01-101""","2020"
"Huntington Place","Vacant Unrented Ready","""01-102""","2020"
"Huntington Place","Vacant Unrented Ready","""01-103""","2020"
"Huntington Place","Occupied No Notice","""01-104""","2020"
"Huntington Place","Vacant Unrented Ready","""01-105""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-106""","2020"
"Huntington Place","Vacant Unrented Ready","""01-107""","2020"
"Huntington Place","Vacant Unrented Ready","""01-108""","2020"
"Huntington Place","Model","""01-109""","2020"
"Huntington Place","Vacant Unrented Ready","""01-110""","2020"
"Huntington Place","Vacant Unrented Ready","""01-111""","2020"
"Huntington Place","Vacant Unrented Ready","""01-112""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-113""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-114""","2020"
"Huntington Place","Vacant Unrented Ready","""01-116""","2020"
"Huntington Place","Vacant Unrented Ready","""01-118""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-119""","2020"
"Huntington Place","Vacant Unrented Ready","""01-120""","2020"
"Huntington Place","Vacant Unrented Ready","""01-121""","2020"
"Huntington Place","Vacant Unrented Ready","""01-122""","2020"
"Huntington Place","Vacant Unrented Ready","""01-124""","2020"
"Huntington Place","Occupied No Notice","""01-126""","2020"
"Huntington Place","Vacant Unrented Ready","""01-128""","2020"
"Huntington Place","Occupied No Notice","""01-129""","2020"
"Huntington Place","Model","""01-130""","2020"
"Huntington Place","Occupied No Notice","""01-131""","2020"
"Huntington Place","Occupied No Notice","""01-132""","2020"
"Huntington Place","Vacant Unrented Ready","""01-133""","2020"
"Huntington Place","Vacant Unrented Ready","""01-134""","2020"
"Huntington Place","Occupied No Notice","""01-136""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-138""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-140""","2020"
"Huntington Place","Vacant Unrented Ready","""01-141""","2020"
"Huntington Place","Vacant Unrented Ready","""01-142""","2020"
"Huntington Place","Vacant Unrented Ready","""01-143""","2020"
"Huntington Place","Vacant Unrented Ready","""01-144""","2020"
"Huntington Place","Occupied No Notice","""01-145""","2020"
"Huntington Place","Vacant Unrented Ready","""01-146""","2020"
"Huntington Place","Occupied No Notice","""01-147""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-148""","2020"
"Huntington Place","Vacant Unrented Ready","""01-149""","2020"
"Huntington Place","Occupied No Notice","""01-150""","2020"
"Huntington Place","Vacant Unrented Ready","""01-151""","2020"
"Huntington Place","Notice Unrented","""01-152""","2020"
"Huntington Place","Vacant Unrented Ready","""01-153""","2020"
"Huntington Place","Vacant Unrented Ready","""01-154""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-201""","2020"
"Huntington Place","Vacant Unrented Ready","""01-202""","2020"
"Huntington Place","Vacant Unrented Ready","""01-203""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-204""","2020"
"Huntington Place","Vacant Unrented Ready","""01-205""","2020"
"Huntington Place","Occupied No Notice","""01-206""","2020"
"Huntington Place","Notice Unrented","""01-207""","2020"
"Huntington Place","Vacant Unrented Ready","""01-208""","2020"
"Huntington Place","Occupied No Notice","""01-209""","2020"
"Huntington Place","Vacant Unrented Ready","""01-210""","2020"
"Huntington Place","Occupied No Notice","""01-211""","2020"
"Huntington Place","Vacant Unrented Ready","""01-212""","2020"
"Huntington Place","Occupied No Notice","""01-213""","2020"
"Huntington Place","Occupied No Notice","""01-214""","2020"
"Huntington Place","Notice Unrented","""01-216""","2020"
"Huntington Place","Occupied No Notice","""01-218""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-219""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-220""","2020"
"Huntington Place","Notice Unrented","""01-221""","2020"
"Huntington Place","Vacant Unrented Ready","""01-222""","2020"
"Huntington Place","Vacant Unrented Ready","""01-224""","2020"
"Huntington Place","Vacant Rented Not Ready","""01-225""","2020"
"Huntington Place","Vacant Unrented Ready","""01-226""","2020"
"Huntington Place","Vacant Unrented Ready","""01-228""","2020"
"Huntington Place","Vacant Unrented Ready","""01-229""","2020"
"Huntington Place","Vacant Unrented Ready","""01-230""","2020"
"Huntington Place","Occupied No Notice","""01-231""","2020"
"Huntington Place","Vacant Unrented Ready","""01-232""","2020"
"Huntington Place","Occupied No Notice","""01-233""","2020"
"Huntington Place","Vacant Unrented Ready","""01-234""","2020"
"Huntington Place","Vacant Unrented Ready","""01-236""","2020"
"Huntington Place","Vacant Unrented Ready","""01-238""","2020"
"Huntington Place","Occupied No Notice","""01-240""","2020"
"Huntington Place","Occupied No Notice","""01-241""","2020"
"Huntington Place","Vacant Unrented Ready","""01-242""","2020"
"Huntington Place","Vacant Unrented Ready","""01-243""","2020"
"Huntington Place","Vacant Unrented Ready","""01-244""","2020"
"Huntington Place","Occupied No Notice","""01-245""","2020"
"Huntington Place","Vacant Unrented Ready","""01-246""","2020"
"Huntington Place","Occupied No Notice","""01-247""","2020"
"Huntington Place","Vacant Unrented Ready","""01-248""","2020"
"Huntington Place","Vacant Unrented Not Ready","""01-249""","2020"
"Huntington Place","Vacant Unrented Ready","""01-250""","2020"
"Huntington Place","Occupied No Notice","""01-251""","2020"
"Huntington Place","Vacant Unrented Ready","""01-252""","2020"
"Huntington Place","Vacant Unrented Ready","""01-253""","2020"
"Huntington Place","Vacant Unrented Ready","""01-254""","2020"
"Huntington Place","Vacant Unrented Ready","""09-001""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-002""","2020"
"Huntington Place","Vacant Unrented Ready","""09-003""","2020"
"Huntington Place","Vacant Unrented Ready","""09-004""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-005""","2020"
"Huntington Place","Occupied No Notice","""09-006""","2020"
"Huntington Place","Vacant Unrented Ready","""09-007""","2020"
"Huntington Place","Occupied No Notice","""09-008""","2020"
"Huntington Place","Vacant Unrented Ready","""09-009""","2020"
"Huntington Place","Occupied No Notice","""09-010""","2020"
"Huntington Place","Notice Unrented","""09-011""","2020"
"Huntington Place","Vacant Unrented Ready","""09-012""","2020"
"Huntington Place","Vacant Unrented Ready","""09-013""","2020"
"Huntington Place","Vacant Unrented Ready","""09-014""","2020"
"Huntington Place","Vacant Unrented Ready","""09-016""","2020"
"Huntington Place","Vacant Unrented Ready","""09-018""","2020"
"Huntington Place","Vacant Unrented Ready","""09-019""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-020""","2020"
"Huntington Place","Occupied No Notice","""09-021""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-022""","2020"
"Huntington Place","Vacant Unrented Ready","""09-024""","2020"
"Huntington Place","Vacant Unrented Ready","""09-026""","2020"
"Huntington Place","Vacant Unrented Ready","""09-028""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-029""","2020"
"Huntington Place","Notice Unrented","""09-030""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-031""","2020"
"Huntington Place","Vacant Unrented Ready","""09-032""","2020"
"Huntington Place","Vacant Unrented Ready","""09-033""","2020"
"Huntington Place","Vacant Unrented Ready","""09-034""","2020"
"Huntington Place","Vacant Unrented Ready","""09-036""","2020"
"Huntington Place","Notice Unrented","""09-038""","2020"
"Huntington Place","Notice Unrented","""09-040""","2020"
"Huntington Place","Occupied No Notice","""09-041""","2020"
"Huntington Place","Occupied No Notice","""09-042""","2020"
"Huntington Place","Vacant Unrented Ready","""09-043""","2020"
"Huntington Place","Vacant Unrented Ready","""09-044""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-045""","2020"
"Huntington Place","Vacant Unrented Ready","""09-046""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-047""","2020"
"Huntington Place","Occupied No Notice","""09-048""","2020"
"Huntington Place","Vacant Unrented Ready","""09-049""","2020"
"Huntington Place","Occupied No Notice","""09-050""","2020"
"Huntington Place","Vacant Unrented Ready","""09-051""","2020"
"Huntington Place","Vacant Unrented Ready","""09-052""","2020"
"Huntington Place","Vacant Unrented Ready","""09-053""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-054""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-101""","2020"
"Huntington Place","Vacant Unrented Ready","""09-102""","2020"
"Huntington Place","Vacant Unrented Ready","""09-103""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-104""","2020"
"Huntington Place","Vacant Rented Ready","""09-105""","2020"
"Huntington Place","Occupied No Notice","""09-106""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-107""","2020"
"Huntington Place","Vacant Unrented Ready","""09-108""","2020"
"Huntington Place","Vacant Unrented Ready","""09-109""","2020"
"Huntington Place","Vacant Unrented Ready","""09-110""","2020"
"Huntington Place","Vacant Unrented Ready","""09-111""","2020"
"Huntington Place","Vacant Unrented Ready","""09-112""","2020"
"Huntington Place","Vacant Unrented Ready","""09-113""","2020"
"Huntington Place","Occupied No Notice","""09-114""","2020"
"Huntington Place","Vacant Unrented Ready","""09-116""","2020"
"Huntington Place","Vacant Unrented Ready","""09-118""","2020"
"Huntington Place","Vacant Unrented Ready","""09-119""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-120""","2020"
"Huntington Place","Vacant Unrented Ready","""09-121""","2020"
"Huntington Place","Notice Unrented","""09-122""","2020"
"Huntington Place","Occupied No Notice","""09-124""","2020"
"Huntington Place","Vacant Unrented Ready","""09-126""","2020"
"Huntington Place","Vacant Unrented Ready","""09-128""","2020"
"Huntington Place","Vacant Unrented Ready","""09-129""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-130""","2020"
"Huntington Place","Notice Unrented","""09-131""","2020"
"Huntington Place","Vacant Unrented Ready","""09-132""","2020"
"Huntington Place","Vacant Unrented Ready","""09-133""","2020"
"Huntington Place","Vacant Unrented Ready","""09-134""","2020"
"Huntington Place","Vacant Unrented Ready","""09-136""","2020"
"Huntington Place","Vacant Unrented Ready","""09-138""","2020"
"Huntington Place","Occupied No Notice","""09-140""","2020"
"Huntington Place","Occupied No Notice","""09-141""","2020"
"Huntington Place","Vacant Unrented Ready","""09-142""","2020"
"Huntington Place","Vacant Unrented Ready","""09-143""","2020"
"Huntington Place","Vacant Unrented Ready","""09-144""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-145""","2020"
"Huntington Place","Vacant Unrented Ready","""09-146""","2020"
"Huntington Place","Vacant Unrented Ready","""09-147""","2020"
"Huntington Place","Vacant Unrented Ready","""09-148""","2020"
"Huntington Place","Vacant Unrented Ready","""09-149""","2020"
"Huntington Place","Occupied No Notice","""09-150""","2020"
"Huntington Place","Vacant Unrented Ready","""09-151""","2020"
"Huntington Place","Occupied No Notice","""09-152""","2020"
"Huntington Place","Vacant Unrented Ready","""09-153""","2020"
"Huntington Place","Vacant Unrented Ready","""09-154""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-201""","2020"
"Huntington Place","Vacant Unrented Ready","""09-202""","2020"
"Huntington Place","Vacant Unrented Ready","""09-203""","2020"
"Huntington Place","Occupied No Notice","""09-204""","2020"
"Huntington Place","Vacant Unrented Ready","""09-205""","2020"
"Huntington Place","Occupied No Notice","""09-206""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-207""","2020"
"Huntington Place","Occupied No Notice","""09-208""","2020"
"Huntington Place","Occupied No Notice","""09-209""","2020"
"Huntington Place","Vacant Unrented Ready","""09-210""","2020"
"Huntington Place","Vacant Unrented Ready","""09-211""","2020"
"Huntington Place","Occupied No Notice","""09-212""","2020"
"Huntington Place","Occupied No Notice","""09-213""","2020"
"Huntington Place","Vacant Unrented Ready","""09-214""","2020"
"Huntington Place","Vacant Unrented Ready","""09-216""","2020"
"Huntington Place","Vacant Unrented Ready","""09-218""","2020"
"Huntington Place","Vacant Unrented Ready","""09-219""","2020"
"Huntington Place","Vacant Unrented Ready","""09-220""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-221""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-222""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-224""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-225""","2020"
"Huntington Place","Vacant Unrented Ready","""09-226""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-228""","2020"
"Huntington Place","Vacant Unrented Ready","""09-229""","2020"
"Huntington Place","Vacant Unrented Ready","""09-230""","2020"
"Huntington Place","Vacant Unrented Ready","""09-231""","2020"
"Huntington Place","Occupied No Notice","""09-232""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-233""","2020"
"Huntington Place","Occupied No Notice","""09-234""","2020"
"Huntington Place","Vacant Unrented Ready","""09-236""","2020"
"Huntington Place","Occupied No Notice","""09-238""","2020"
"Huntington Place","Occupied No Notice","""09-240""","2020"
"Huntington Place","Vacant Unrented Ready","""09-241""","2020"
"Huntington Place","Occupied No Notice","""09-242""","2020"
"Huntington Place","Notice Unrented","""09-243""","2020"
"Huntington Place","Vacant Unrented Ready","""09-244""","2020"
"Huntington Place","Notice Unrented","""09-245""","2020"
"Huntington Place","Vacant Unrented Ready","""09-246""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-247""","2020"
"Huntington Place","Vacant Unrented Ready","""09-248""","2020"
"Huntington Place","Vacant Unrented Ready","""09-249""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-250""","2020"
"Huntington Place","Vacant Unrented Not Ready","""09-251""","2020"
"Huntington Place","Occupied No Notice","""09-252""","2020"
"Huntington Place","Occupied No Notice","""09-253""","2020"
"Huntington Place","Vacant Unrented Ready","""09-254""","2020"
"Huntington Place","Occupied No Notice","""17-001""","2020"
"Huntington Place","Occupied No Notice","""17-002""","2020"
"Huntington Place","Occupied No Notice","""17-003""","2020"
"Huntington Place","Occupied No Notice","""17-004""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-005""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-006""","2020"
"Huntington Place","Notice Unrented","""17-007""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-008""","2020"
"Huntington Place","Occupied No Notice","""17-009""","2020"
"Huntington Place","Vacant Unrented Ready","""17-010""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-011""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-012""","2020"
"Huntington Place","Vacant Unrented Ready","""17-013""","2020"
"Huntington Place","Vacant Unrented Ready","""17-014""","2020"
"Huntington Place","Vacant Unrented Ready","""17-016""","2020"
"Huntington Place","Vacant Unrented Ready","""17-018""","2020"
"Huntington Place","Vacant Unrented Ready","""17-019""","2020"
"Huntington Place","Vacant Unrented Ready","""17-020""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-021""","2020"
"Huntington Place","Occupied No Notice","""17-022""","2020"
"Huntington Place","Vacant Unrented Ready","""17-024""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-026""","2020"
"Huntington Place","Occupied No Notice","""17-028""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-029""","2020"
"Huntington Place","Occupied No Notice","""17-030""","2020"
"Huntington Place","Occupied No Notice","""17-031""","2020"
"Huntington Place","Notice Unrented","""17-032""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-033""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-034""","2020"
"Huntington Place","Vacant Unrented Ready","""17-036""","2020"
"Huntington Place","Vacant Unrented Ready","""17-038""","2020"
"Huntington Place","Vacant Unrented Ready","""17-040""","2020"
"Huntington Place","Occupied No Notice","""17-041""","2020"
"Huntington Place","Vacant Unrented Ready","""17-042""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-043""","2020"
"Huntington Place","Vacant Unrented Ready","""17-044""","2020"
"Huntington Place","Vacant Unrented Ready","""17-045""","2020"
"Huntington Place","Vacant Unrented Ready","""17-046""","2020"
"Huntington Place","Vacant Unrented Ready","""17-047""","2020"
"Huntington Place","Vacant Unrented Ready","""17-048""","2020"
"Huntington Place","Occupied No Notice","""17-049""","2020"
"Huntington Place","Occupied No Notice","""17-050""","2020"
"Huntington Place","Occupied No Notice","""17-051""","2020"
"Huntington Place","Occupied No Notice","""17-052""","2020"
"Huntington Place","Vacant Unrented Ready","""17-053""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-054""","2020"
"Huntington Place","Occupied No Notice","""17-101""","2020"
"Huntington Place","Vacant Unrented Ready","""17-102""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-103""","2020"
"Huntington Place","Vacant Unrented Ready","""17-104""","2020"
"Huntington Place","Occupied No Notice","""17-105""","2020"
"Huntington Place","Vacant Unrented Ready","""17-106""","2020"
"Huntington Place","Occupied No Notice","""17-107""","2020"
"Huntington Place","Occupied No Notice","""17-108""","2020"
"Huntington Place","Vacant Unrented Ready","""17-109""","2020"
"Huntington Place","Vacant Rented Ready","""17-110""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-111""","2020"
"Huntington Place","Vacant Unrented Ready","""17-112""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-113""","2020"
"Huntington Place","Vacant Unrented Ready","""17-114""","2020"
"Huntington Place","Vacant Unrented Ready","""17-116""","2020"
"Huntington Place","Vacant Rented Ready","""17-118""","2020"
"Huntington Place","Occupied No Notice","""17-119""","2020"
"Huntington Place","Vacant Unrented Ready","""17-120""","2020"
"Huntington Place","Vacant Unrented Ready","""17-121""","2020"
"Huntington Place","Vacant Unrented Ready","""17-122""","2020"
"Huntington Place","Vacant Unrented Ready","""17-124""","2020"
"Huntington Place","Vacant Unrented Ready","""17-126""","2020"
"Huntington Place","Vacant Unrented Ready","""17-128""","2020"
"Huntington Place","Vacant Unrented Ready","""17-129""","2020"
"Huntington Place","Vacant Unrented Ready","""17-130""","2020"
"Huntington Place","Vacant Unrented Ready","""17-131""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-132""","2020"
"Huntington Place","Occupied No Notice","""17-133""","2020"
"Huntington Place","Occupied No Notice","""17-134""","2020"
"Huntington Place","Vacant Unrented Ready","""17-136""","2020"
"Huntington Place","Vacant Unrented Ready","""17-138""","2020"
"Huntington Place","Vacant Unrented Ready","""17-140""","2020"
"Huntington Place","Vacant Unrented Ready","""17-141""","2020"
"Huntington Place","Occupied No Notice","""17-142""","2020"
"Huntington Place","Vacant Unrented Ready","""17-143""","2020"
"Huntington Place","Notice Unrented","""17-144""","2020"
"Huntington Place","Vacant Unrented Ready","""17-145""","2020"
"Huntington Place","Occupied No Notice","""17-146""","2020"
"Huntington Place","Occupied No Notice","""17-147""","2020"
"Huntington Place","Vacant Unrented Ready","""17-148""","2020"
"Huntington Place","Vacant Unrented Ready","""17-149""","2020"
"Huntington Place","Vacant Unrented Ready","""17-150""","2020"
"Huntington Place","Occupied No Notice","""17-151""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-152""","2020"
"Huntington Place","Vacant Unrented Ready","""17-153""","2020"
"Huntington Place","Occupied No Notice","""17-154""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-201""","2020"
"Huntington Place","Vacant Unrented Ready","""17-202""","2020"
"Huntington Place","Notice Unrented","""17-203""","2020"
"Huntington Place","Vacant Unrented Ready","""17-204""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-205""","2020"
"Huntington Place","Vacant Unrented Ready","""17-206""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-207""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-208""","2020"
"Huntington Place","Vacant Unrented Ready","""17-209""","2020"
"Huntington Place","Vacant Unrented Ready","""17-210""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-211""","2020"
"Huntington Place","Vacant Unrented Ready","""17-212""","2020"
"Huntington Place","Vacant Unrented Ready","""17-213""","2020"
"Huntington Place","Notice Unrented","""17-214""","2020"
"Huntington Place","Vacant Unrented Ready","""17-216""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-218""","2020"
"Huntington Place","Occupied No Notice","""17-219""","2020"
"Huntington Place","Occupied No Notice","""17-220""","2020"
"Huntington Place","Vacant Unrented Ready","""17-221""","2020"
"Huntington Place","Occupied No Notice","""17-222""","2020"
"Huntington Place","Vacant Unrented Ready","""17-224""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-225""","2020"
"Huntington Place","Occupied No Notice","""17-226""","2020"
"Huntington Place","Vacant Unrented Ready","""17-228""","2020"
"Huntington Place","Vacant Unrented Ready","""17-229""","2020"
"Huntington Place","Occupied No Notice","""17-230""","2020"
"Huntington Place","Occupied No Notice","""17-231""","2020"
"Huntington Place","Vacant Unrented Ready","""17-232""","2020"
"Huntington Place","Occupied No Notice","""17-233""","2020"
"Huntington Place","Notice Unrented","""17-234""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-236""","2020"
"Huntington Place","Occupied No Notice","""17-238""","2020"
"Huntington Place","Vacant Unrented Ready","""17-240""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-241""","2020"
"Huntington Place","Vacant Unrented Ready","""17-242""","2020"
"Huntington Place","Vacant Unrented Ready","""17-243""","2020"
"Huntington Place","Occupied No Notice","""17-244""","2020"
"Huntington Place","Vacant Unrented Ready","""17-245""","2020"
"Huntington Place","Occupied No Notice","""17-246""","2020"
"Huntington Place","Vacant Unrented Not Ready","""17-247""","2020"
"Huntington Place","Vacant Unrented Ready","""17-248""","2020"
"Huntington Place","Vacant Rented Ready","""17-249""","2020"
"Huntington Place","Occupied No Notice","""17-250""","2020"
"Huntington Place","Vacant Unrented Ready","""17-251""","2020"
"Huntington Place","Notice Unrented","""17-252""","2020"
"Huntington Place","Vacant Unrented Ready","""17-253""","2020"
"Huntington Place","Occupied No Notice","""17-254""","2020"
"Huntington Place","Vacant Unrented Ready","""33-001""","2020"
"Huntington Place","Vacant Unrented Ready","""33-002""","2020"
"Huntington Place","Vacant Unrented Ready","""33-003""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-004""","2020"
"Huntington Place","Vacant Unrented Ready","""33-005""","2020"
"Huntington Place","Notice Unrented","""33-006""","2020"
"Huntington Place","Vacant Unrented Ready","""33-007""","2020"
"Huntington Place","Vacant Unrented Ready","""33-008""","2020"
"Huntington Place","Vacant Unrented Ready","""33-009""","2020"
"Huntington Place","Occupied No Notice","""33-010""","2020"
"Huntington Place","Vacant Unrented Ready","""33-011""","2020"
"Huntington Place","Vacant Unrented Ready","""33-012""","2020"
"Huntington Place","Vacant Unrented Ready","""33-013""","2020"
"Huntington Place","Vacant Unrented Ready","""33-014""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-016""","2020"
"Huntington Place","Vacant Unrented Ready","""33-018""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-019""","2020"
"Huntington Place","Vacant Unrented Ready","""33-020""","2020"
"Huntington Place","Vacant Unrented Ready","""33-021""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-022""","2020"
"Huntington Place","Occupied No Notice","""33-024""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-026""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-028""","2020"
"Huntington Place","Vacant Unrented Ready","""33-029""","2020"
"Huntington Place","Occupied No Notice","""33-030""","2020"
"Huntington Place","Vacant Unrented Ready","""33-031""","2020"
"Huntington Place","Occupied No Notice","""33-032""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-033""","2020"
"Huntington Place","Notice Unrented","""33-034""","2020"
"Huntington Place","Vacant Unrented Ready","""33-036""","2020"
"Huntington Place","Vacant Rented Not Ready","""33-038""","2020"
"Huntington Place","Notice Unrented","""33-040""","2020"
"Huntington Place","Vacant Unrented Ready","""33-041""","2020"
"Huntington Place","Notice Unrented","""33-042""","2020"
"Huntington Place","Occupied No Notice","""33-043""","2020"
"Huntington Place","Vacant Unrented Ready","""33-044""","2020"
"Huntington Place","Occupied No Notice","""33-045""","2020"
"Huntington Place","Occupied No Notice","""33-046""","2020"
"Huntington Place","Vacant Unrented Ready","""33-047""","2020"
"Huntington Place","Vacant Unrented Ready","""33-048""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-049""","2020"
"Huntington Place","Vacant Unrented Ready","""33-050""","2020"
"Huntington Place","Occupied No Notice","""33-051""","2020"
"Huntington Place","Vacant Unrented Ready","""33-052""","2020"
"Huntington Place","Occupied No Notice","""33-053""","2020"
"Huntington Place","Occupied No Notice","""33-054""","2020"
"Huntington Place","Occupied No Notice","""33-101""","2020"
"Huntington Place","Vacant Unrented Not Ready","""33-102""","2020"
"Huntington Place","Vacant Unrented Ready","""33-103""","2020"
